"class","before_refac","after_refac"
"filters3.xml.handler",32,0
"RealProject",61,43
"Core",53,21
"GITRemoteRepository2",41,0
"FindMatches",21,0
"ConvertProject26to37team",24,0
"core.search.Searcher",23,0
"SVNAuthenticationManager",23,0
"gui.ProjectUICommands",23,0
"gui.MainWindowMenu",21,0
"gui.GlossaryTextArea",26,0
"gui.GlossaryReaderTBX",21,0
"gui.EditorController",58,0
"gui.ProjectFilesListController,21,0
"gui.SearchWindowController",32,0
"gui.PreferencesWindowController",42,0
"gui.MatchesTextArea",27,0
"gui.SegmentBuilder",24,0
"gui.Aligner",23,0
"SVNRemoteRepository2",22,0
"gui.MainWindowMenuHandler",0,0
"gui.MainWindow",0,0
"gui.AlignPanelController",0,0
"gui.ProjectPropertiesDialog",0,0
'ScriptingWindow',0,0
'IssuesPanelController',0,0
'EditorTextArea3',0,0
'FilterVisitor',0,0
