"class","before_refac","after_refac"
"filters3.xml.handler",32,16
"RealProject",61,43
"Core",53,21
"GITRemoteRepository2",41,17
"FindMatches",21,0
"ConvertProject26to37team",24,0
"core.search.Searcher",23,0
"SVNAuthenticationManager",23,0
"ProjectUICommands",23,0
"MainWindowMenu",21,0
"GlossaryTextArea",26,0
"GlossaryReaderTBX",21,0
"EditorController",58,0
"ProjectFilesListController,21,0
"SearchWindowController",32,0
"PreferencesWindowController",42,0
"MatchesTextArea",27,0
"SegmentBuilder",24,0
"Aligner",23,0
"SVNRemoteRepository2",22,0
"MainWindowMenuHandler",0,0
"MainWindow",0,0
"AlignPanelController",0,0
"ProjectPropertiesDialog",0,0
'ScriptingWindow',0,0
'IssuesPanelController',0,0
'EditorTextArea3',0,0
'FilterVisitor',0,0
